RI,Value
,19913
,18823
,18909
,17558
,17275
,18871
,18171
,17257
,17224
,18041
,16186
,17593
,16376
,16948
,16992
,16851
,16073
,15267
,16846
,18249
,18097
,18698
,18274
,18906
,17293
,16343
,16562
,16837
,16466
,16539
,15884
,15663
,14820
,15317
,14823
,14869
,15884
,13839
,14972
,14918
,14476
,14277
,14325
,13665
,13683
,14094
,14333
,13583
,14932
,14882
,14019
,14627
,14117
,14264
,14571
,14142
,15195
,15554
,16032
,17053
,16069
,16401
,18284
,15369
,14921
,16112
,15524
,16073
,15636
,14309
,16044
,14403
,14335
,14022
,13488
,14769
,12979
,13864
,12970
,14381
,13563
,14436
,13619
,13040
,13662
,13828
,13147
,13064
,13174
,12745
,13099
,12747
,12178
,13525
,13669
,12554
,13968
,13584
,14061
,13798
,15929
,14853
,14851
,14178
,12628
,13435
,12870
,13286
,13880
,12445
,13430
,15589
,18806
,31855
,55854
,91210
,134535
,165266
,172121
,156230
,126600
,101009
,78393
,70355
,58072
,52748
,47794
,41446
,38184
,33411
,33236
,29646
,28182
,26802
,25544
,25174
,22697
,22685
,23143
,21845
,20507
,19278
,18529
,18803
,16130
,15289
,14955
,14896
,14372
,13429
,14865
,13757
,14302
,13492
,12609
,13455
,12303
,13469
,11971
,11780
,12506
,11394
,12883
,11355
,12009
,12490
,12439
,11507
,12785
,12621
,12093
,12249
,13125
,11583
,11795
,12060
,13235
,12569
,13705
,15234
,14514
,14948
,13887
,12678
,12900
,12680
,13676
,12911
,12967
,13872
,15300
,17168
1100.2384358608,16678
1100.4768717215,15771
1100.7629947544,15668
1101.0014306152,15881
1101.2398664759,13774
1101.5259895088,13154
1101.7644253696,12960
1102.0505484025,12538
1102.2889842632,12467
1102.527420124,12426
1102.8135431569,13173
1103.0519790176,13047
1103.3381020505,14159
1103.5765379113,13266
1103.8149737721,12402
1104.101096805,13198
1104.3395326657,11639
1104.6256556986,12184
1104.8640915594,10930
1105.1025274201,11833
1105.388650453,12603
1105.6270863138,11431
1105.9132093467,10849
1106.1516452074,12481
1106.3900810682,11131
1106.6762041011,11141
1106.9146399619,10933
1107.2007629948,11507
1107.4391988555,11534
1107.6776347163,13356
1107.9637577492,12733
1108.2021936099,16187
1108.4883166428,19885
1108.7267525036,25215
1108.9651883643,24850
1109.2513113972,25335
1109.489747258,24391
1109.7758702909,21437
1110.0143061516,19605
1110.2527420124,17216
1110.5388650453,16812
1110.7773009061,16444
1111.063423939,15440
1111.3018597997,14965
1111.5402956605,14576
1111.8264186934,13751
1112.0648545541,14662
1112.350977587,16408
1112.5894134478,16666
1112.8755364807,17167
1113.1139723414,17498
1113.3524082022,19036
1113.6385312351,17523
1113.8769670959,17408
1114.1630901288,17073
1114.4015259895,16866
1114.6399618503,15182
1114.9260848832,15044
1115.1645207439,14109
1115.4506437768,12938
1115.6890796376,13635
1115.9275154983,13940
1116.2136385312,14211
1116.452074392,13441
1116.7381974249,13790
1116.9766332856,14721
1117.2150691464,15490
1117.5011921793,13883
1117.7396280401,13282
1118.025751073,14547
1118.2641869337,13595
1118.5026227945,13860
1118.7887458274,12410
1119.0271816881,12125
1119.313304721,11591
1119.5517405818,12002
1119.7901764425,13341
1120.0762994754,13625
1120.3147353362,14114
1120.6008583691,14609
1120.8392942299,14623
1121.0777300906,15031
1121.3638531235,13469
1121.6022889843,13015
1121.8884120172,14123
1122.1268478779,13733
1122.3652837387,13217
1122.6514067716,13286
1122.8898426323,12971
1123.1759656652,12874
1123.414401526,13640
1123.6528373867,13028
1123.9389604196,15450
1124.1773962804,18072
1124.4635193133,21061
1124.7019551741,29924
1124.9403910348,37608
1125.2265140677,42694
1125.4649499285,45811
1125.7510729614,45600
1125.9895088221,42526
1126.2279446829,36500
1126.5140677158,34097
1126.7525035765,32740
1127.0386266094,28158
1127.2770624702,26290
1127.5154983309,23175
1127.8016213639,21868
1128.0400572246,21703
1128.3261802575,21537
1128.5646161183,18275
1128.803051979,19368
1129.0891750119,16356
1129.3276108727,17884
1129.6137339056,17155
1129.8521697663,16318
1130.0906056271,15040
1130.37672866,14625
1130.6151645207,14834
1130.9012875536,13734
1131.1397234144,13584
1131.3781592752,11493
1131.6642823081,11310
1131.9027181688,11801
1132.1888412017,10982
1132.4272770625,10471
1132.6657129232,12338
1132.9518359561,11447
1133.1902718169,11601
1133.4763948498,11021
1133.7148307105,11920
1133.9532665713,10605
1134.2393896042,10476
1134.477825465,11575
1134.7639484979,12167
1135.0023843586,13574
1135.2408202194,14143
1135.5269432523,15989
1135.765379113,17412
1136.0515021459,18360
1136.2899380067,18311
1136.5283738674,16997
1136.8144969003,16309
1137.0529327611,15275
1137.339055794,13860
1137.5774916547,14167
1137.8636146876,13324
1138.1020505484,13798
1138.3404864092,13668
1138.6266094421,14565
1138.8650453028,15936
1139.1034811636,15728
1139.3896041965,16857
1139.6280400572,15684
1139.9141630901,15921
1140.1525989509,15119
1140.4387219838,14831
1140.6771578445,14885
1140.9155937053,14805
1141.2017167382,15297
1141.440152599,13902
1141.7262756319,14103
1141.9647114926,14328
1142.2031473534,12959
1142.4892703863,11840
1142.727706247,11761
1143.0138292799,10895
1143.2522651407,10688
1143.4907010014,11229
1143.7768240343,10255
1144.0152598951,10633
1144.301382928,11068
1144.5398187887,10320
1144.7782546495,9700
1145.0643776824,10648
1145.3028135432,9438
1145.5889365761,10417
1145.8273724368,10479
1146.0658082976,11273
1146.3519313305,11240
1146.5903671912,11339
1146.8764902241,10538
1147.1149260849,10592
1147.3533619456,10843
1147.6394849785,10598
1147.8779208393,10580
1148.1640438722,10239
1148.402479733,10493
1148.6409155937,10144
1148.9270386266,11908
1149.1654744874,13427
1149.4515975203,17527
1149.690033381,22884
1149.9284692418,29297
1150.2145922747,33039
1150.4530281354,35311
1150.7391511683,34077
1150.9775870291,32301
1151.2160228898,25889
1151.5021459227,23619
1151.7405817835,19510
1152.0267048164,17266
1152.2651406772,16169
1152.5035765379,15987
1152.7896995708,14755
1153.0281354316,13930
1153.3142584645,12462
1153.5526943252,13310
1153.791130186,13477
1154.0772532189,12743
1154.3156890796,11837
1154.6018121125,11731
1154.8402479733,11771
1155.078683834,12195
1155.364806867,11544
1155.6032427277,11507
1155.8893657606,11687
1156.1278016214,11734
1156.3662374821,12413
1156.652360515,12741
1156.8907963758,10556
1157.1769194087,12597
1157.4153552694,11742
1157.6537911302,11827
1157.9399141631,10885
1158.1783500238,11904
1158.4644730567,10039
1158.7029089175,11115
1158.9413447783,10674
1159.2274678112,10601
1159.4659036719,9649
1159.7520267048,9857
1159.9904625656,10428
1160.2288984263,10577
1160.5150214592,9842
1160.75345732,10494
1161.0395803529,10477
1161.2780162136,10311
1161.5164520744,9545
1161.8025751073,10158
1162.041010968,9170
1162.327134001,9518
1162.5655698617,10394
1162.8040057225,10134
1163.0901287554,9766
1163.3285646161,9337
1163.614687649,9690
1163.8531235098,9531
1164.0915593705,11131
1164.3776824034,10418
1164.6161182642,11178
1164.9022412971,10249
1165.1406771578,10997
1165.4268001907,10220
1165.6652360515,10716
1165.9036719123,11922
1166.1897949452,13078
1166.4282308059,12572
1166.7143538388,13708
1166.9527896996,13812
1167.1912255603,14675
1167.4773485932,14649
1167.715784454,13484
1168.0019074869,12582
1168.2403433476,10883
1168.4787792084,11864
1168.7649022413,11294
1169.0033381021,9771
1169.289461135,10427
1169.5278969957,10358
1169.7663328565,9803
1170.0524558894,9902
1170.2908917501,9318
1170.577014783,10837
1170.8154506438,10126
1171.0538865045,10593
1171.3400095374,10417
1171.5784453982,10226
1171.8645684311,10333
1172.1030042918,9526
1172.3414401526,9142
1172.6275631855,9381
1172.8659990463,9718
1173.1521220792,10187
1173.3905579399,9306
1173.6289938007,9531
1173.9151168336,9216
1174.1535526943,9574
1174.4396757272,9877
1174.678111588,9560
1174.9165474487,10409
1175.2026704816,9019
1175.4411063424,9673
1175.7272293753,8840
1175.9656652361,10135
1176.2041010968,10712
1176.4902241297,10804
1176.7286599905,11641
1177.0147830234,16046
1177.2532188841,22028
1177.4916547449,32960
1177.7777777778,49236
1178.0162136385,66683
1178.3023366714,81817
1178.5407725322,89855
1178.7792083929,92288
1179.0653314258,83735
1179.3037672866,73464
1179.5898903195,60895
1179.8283261803,52381
1180.066762041,44581
1180.3528850739,39049
1180.5913209347,34448
1180.8774439676,30314
1181.1158798283,27176
1181.3543156891,24590
1181.640438722,22963
1181.8788745827,22299
1182.1649976156,20356
1182.4034334764,19755
1182.6418693371,19055
1182.9279923701,18526
1183.1664282308,18657
1183.4525512637,17867
1183.6909871245,17413
1183.9294229852,16605
1184.2155460181,17088
1184.4539818789,15692
1184.7401049118,14976
1184.9785407725,14547
1185.2169766333,14784
1185.5030996662,13370
1185.7415355269,11635
1186.0276585598,12336
1186.2660944206,12386
1186.5045302814,11788
1186.7906533143,10822
1187.029089175,10624
1187.3152122079,11163
1187.5536480687,10212
1187.7920839294,10626
1188.0782069623,10851
1188.3166428231,10094
1188.602765856,10758
1188.8412017167,11268
1189.0796375775,10998
1189.3657606104,10551
1189.6041964711,10901
1189.8903195041,11857
1190.1287553648,11450
1190.3671912256,11428
1190.6533142585,11997
1190.8917501192,10950
1191.1778731521,11931
1191.4163090129,11238
1191.7024320458,11588
1191.9408679065,12249
1192.1793037673,11110
1192.4654268002,11119
1192.7038626609,11683
1192.9899856938,11296
1193.2284215546,10685
1193.4668574154,11004
1193.7529804483,11291
1193.991416309,12191
1194.2775393419,11009
1194.5159752027,11535
1194.7544110634,10462
1195.0405340963,12014
1195.2789699571,10001
1195.56509299,10453
1195.8035288507,10478
1196.0419647115,10854
1196.3280877444,10982
1196.5665236052,11203
1196.8526466381,13680
1197.0910824988,15983
1197.3295183596,17469
1197.6156413925,18843
1197.8540772532,20516
1198.1402002861,19419
1198.3786361469,18206
1198.6170720076,16960
1198.9031950405,14877
1199.1416309013,16150
1199.4277539342,16909
1199.6661897949,16777
1199.9046256557,17359
1200.180750113,17854
1200.4066877542,18356
1200.6778129236,16328
1200.9037505648,15128
1201.1296882061,15308
1201.4008133755,13981
1201.6267510167,13351
1201.8978761862,12924
1202.1238138274,10798
1202.3497514686,11213
1202.620876638,11183
1202.8468142793,10942
1203.1179394487,10852
1203.3438770899,10616
1203.5698147311,10305
1203.8409399006,10223
1204.0668775418,9067
1204.3380027113,9799
1204.5639403525,9373
1204.7898779937,9725
1205.0610031631,9508
1205.2869408043,9522
1205.5580659738,9037
1205.784003615,9692
1206.0099412562,9424
1206.2810664257,9404
1206.5070040669,9393
1206.7781292363,9630
1207.0040668775,8390
1207.2300045188,9761
1207.5011296882,9284
1207.7270673294,9282
1207.9981924989,9569
1208.2241301401,8624
1208.4500677813,9291
1208.7211929507,9042
1208.947130592,8970
1209.2182557614,9608
1209.4441934026,10026
1209.6701310438,10955
1209.9412562133,9916
1210.1671938545,11259
1210.4383190239,10479
1210.6642566652,9951
1210.8901943064,10646
1211.1613194758,10363
1211.387257117,10487
1211.6583822865,11571
1211.8843199277,10916
1212.1102575689,12631
1212.3813827384,12403
1212.6073203796,12837
1212.878445549,14072
1213.1043831902,13833
1213.3303208315,12690
1213.6014460009,12746
1213.8273836421,12101
1214.0985088116,11983
1214.3244464528,11394
1214.550384094,11005
1214.8215092634,11311
1215.0474469047,11359
1215.3185720741,10799
1215.5445097153,10175
1215.7704473565,11303
1216.041572526,12190
1216.2675101672,12151
1216.5386353366,12171
1216.7645729779,11697
1217.0356981473,11801
1217.2616357885,11775
1217.4875734297,11149
1217.7586985992,9813
1217.9846362404,10515
1218.2557614099,10398
1218.4816990511,9997
1218.7076366923,9895
1218.9787618617,9666
1219.2046995029,10451
1219.4758246724,10907
1219.7017623136,11515
1219.9276999548,13112
1220.1988251243,12193
1220.4247627655,13972
1220.6958879349,12335
1220.9218255761,10624
1221.1477632174,10389
1221.4188883868,10877
1221.644826028,10350
1221.9159511975,11004
1222.1418888387,9333
1222.3678264799,9906
1222.6389516493,11495
1222.8648892906,11396
1223.13601446,13855
1223.3619521012,15576
1223.5878897424,17033
1223.8590149119,18153
1224.0849525531,17907
1224.3560777225,16981
1224.5820153638,15924
1224.807953005,14036
1225.0790781744,11963
1225.3050158156,12030
1225.5761409851,10822
1225.8020786263,10978
1226.0280162675,10610
1226.299141437,9752
1226.5250790782,11042
1226.7962042476,10281
1227.0221418888,9617
1227.24807953,9959
1227.5192046995,9610
1227.7451423407,10541
1228.0162675102,10147
1228.2422051514,9282
1228.4681427926,9534
1228.739267962,9642
1228.9652056033,9715
1229.2363307727,9328
1229.4622684139,9556
1229.6882060551,8667
1229.9593312246,9291
1230.1852688658,9470
1230.4563940352,9348
1230.6823316765,8640
1230.9082693177,9921
1231.1793944871,9272
1231.4053321283,10967
1231.6764572978,8945
1231.902394939,9923
1232.1283325802,10150
1232.3994577497,10098
1232.6253953909,9921
1232.8965205603,10407
1233.1224582015,10020
1233.3483958427,9721
1233.6195210122,9922
1233.8454586534,9666
1234.1165838229,8326
1234.3425214641,8934
1234.5684591053,8959
1234.8395842747,9041
1235.065521916,8577
1235.3366470854,9469
1235.5625847266,9976
1235.7885223678,9075
1236.0596475373,9930
1236.2855851785,9539
1236.5567103479,9336
1236.7826479892,9012
1237.0085856304,9839
1237.2797107998,9760
1237.505648441,11198
1237.7767736105,10351
1238.0027112517,10845
1238.2286488929,10351
1238.4997740624,10275
1238.7257117036,9613
1238.996836873,9380
1239.2227745142,9554
1239.4487121554,9766
1239.7198373249,9244
1239.9457749661,9455
1240.2169001356,9924
1240.4428377768,9673
1240.7139629462,8999
1240.9399005874,10230
1241.1658382286,8280
