URL	chrom://isq7ci1912004/ChromeleonLocal/AK Simat/2024/PVC Lina/2024-02_Vorversuche/2024-02_PVC-Tischde.seq/220.smp/TIC.channel/TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Sequence	2024-02_PVC-Tischde
Name	PVC-Tischdecke µC A 0,2g 50C 30min Split 1:20
Number	2
Position	66
Comment	ODP Lina
Processing Method	MS Quantitative
Instrument Method	manualTD-WAX-MS-O_L1
Type	Calibration Standard
Status	Finished
Inject Time	2/21/2024 9:15:20 AM +01:00
Volume (µl)	10.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.033905
Time Max. (min)	50.003447
Data Points	55452
Detector	MSDevice
Generating Data System	Chromeleon 7.2.10 Build 23925 (cfd1e7af542fd56c07b8e0c2791055c459cfcf14)
Exporting Data System	Chromeleon 7.2.10.0
Operator	ISQ7000
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	13,079,911.128393
Signal Max.	5,872,703,630.459210
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.054
Max. Step (s)	0.0541
Average Step (s)	0.05406886

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.033905	n.a.	15,967,227.793620
0.034807	0.0541	16,058,643.924182
0.035708	0.0541	16,312,278.027695
0.036608	0.054	16,621,433.915612
0.037510	0.0541	16,852,785.622563
0.038412	0.0541	16,985,538.825203
0.039313	0.0541	17,164,808.058168
0.040213	0.054	17,285,411.110096
0.041115	0.0541	17,183,433.821874
0.042017	0.0541	17,161,670.900411
0.042917	0.054	17,318,735.678513
0.043818	0.0541	17,280,805.026551
0.044720	0.0541	17,053,511.963935
0.045620	0.054	16,938,881.871432
0.046522	0.0541	17,007,904.500830
0.047423	0.0541	17,079,329.673828
0.048323	0.054	17,061,272.717335
0.049225	0.0541	17,148,387.839503
0.050127	0.0541	17,268,214.180725
0.051027	0.054	17,350,701.099933
0.051928	0.0541	17,436,141.116284
0.052830	0.0541	17,435,728.478310
0.053732	0.0541	17,426,035.668104
0.054632	0.054	17,503,511.771407
0.055533	0.0541	17,495,301.942585
0.056435	0.0541	17,348,458.761000
0.057335	0.054	17,468,796.944200
0.058237	0.0541	17,853,215.311063
0.059138	0.0541	17,956,464.016813
0.060038	0.054	17,693,602.252125
0.060940	0.0541	17,579,259.881144
0.061842	0.0541	17,925,862.420273
0.062742	0.054	18,176,309.590241
0.063643	0.0541	18,018,836.789332
0.064545	0.0541	17,932,280.107297
0.065445	0.054	18,001,201.218517
0.066347	0.0541	18,040,010.328521
0.067248	0.0541	17,948,100.685198
0.068150	0.0541	17,783,489.503083
0.069050	0.054	17,747,644.002775
0.069952	0.0541	17,891,642.064053
0.070853	0.0541	18,034,268.840047
0.071753	0.054	17,956,840.002023
0.072655	0.0541	17,823,420.592703
0.073557	0.0541	17,790,914.771530
0.074457	0.054	17,722,883.746744
0.075358	0.0541	17,623,080.303442
0.076260	0.0541	17,785,743.145632
0.077160	0.054	18,150,772.980027
0.078062	0.0541	18,319,757.715588
0.078963	0.0541	18,238,604.682755
0.079863	0.054	18,014,816.512736
0.080765	0.0541	17,872,771.044728
0.081667	0.0541	17,945,753.629083
0.082568	0.0541	18,032,344.720474
0.083468	0.054	18,055,427.487662
0.084370	0.0541	18,069,438.439350
