RI,Value
,57309
,57397
,59319
,59152
,57323
,59180
,58087
,57507
,56285
,54772
,57121
,53966
,55224
,54636
,54866
,52833
,50871
,50963
,50885
,49197
,49013
,48731
,47360
,46774
,45850
,44410
,42894
,43231
,43558
,43205
,39886
,42244
,41493
,40068
,38762
,37927
,39032
,38254
,36113
,37245
,36142
,35933
,35048
,35422
,33942
,31828
,33849
,32750
,32183
,32725
,33313
,32492
,31359
,29531
,30381
,31164
,29899
,27956
,28168
,29055
,27582
,27445
,27569
,27250
,29497
,27642
,26130
,26068
,27506
,26377
,25611
,26160
,24555
,24843
,24509
,24282
,23985
,24151
,25345
,24265
,23941
,23287
,23150
,23937
,22843
,22456
,23524
,24504
,24919
,24042
,25202
,26528
,26538
,28022
,28390
,27465
,27770
,28190
,27634
,28456
,26562
,26555
,26248
,25384
,25332
,24927
,26212
,25473
,23828
,24182
,24065
,23931
,25290
,24540
,23593
,24423
,23823
,24309
,24921
,23724
,23495
,23667
,23573
,23166
,20541
,19798
,19796
,17452
,15610
,15354
,13544
,11227
,11913
,12236
,10636
,9517
,9099
,8158
,8689
,8673
,8395
,10239
,10624
,13137
,16957
,22776
,30883
,43983
,63630
,86753
,117845
,159387
,216866
,275805
,348810
,428929
,502076
,578350
,636182
,666448
,677984
,655092
,619692
,571459
,520757
,487905
,451490
,430915
,421159
,409746
,409274
,407459
,405681
,406807
,399500
,396758
,393456
,392880
,376811
,374634
,370701
,361164
,354405
,346661
,338314
,328169
,329667
,325484
,318849
,320510
,321659
,319193
,316145
,306550
,299225
,295849
,283063
,282955
,272774
,270752
,264011
,259837
,258313
,253562
,247057
,246910
,240919
,237475
,234574
,233231
,224792
,220954
,214658
,209139
,210854
,207909
,197674
,191712
,189073
,186232
,180983
,180329
,174166
,172228
,171622
,162840
,162602
,156288
,155761
,152458
,151537
,145432
,144781
,137613
,135242
,133059
,129894
,128545
,125156
,121892
,120805
,122081
,119690
,116010
,113055
,114477
,108915
,105649
,104025
,102641
,101525
,100547
,96366
,97094
,94055
,92645
,91459
,91029
,91265
,88120
,83522
,84296
,83185
,80154
,79021
,79180
,76267
,74362
,75383
,71771
,72383
,70217
,68388
,65688
,61831
,58801
,54179
,50085
