RI,Value
,38714
,36296
,34940
,32930
,34566
,31336
,32076
,29587
,29547
,29180
,27308
,25524
,26930
,25763
,25168
,23483
,22823
,23264
,23679
,27317
,34098
,38737
,46721
,46722
,43567
,40838
,37002
,35594
,31873
,29387
,28458
,27185
,26843
,26484
,25171
,25458
,23833
,23513
,23059
,21089
,21629
,22561
,22273
,22433
,24217
,25404
,25646
,25236
,25849
,28061
,26598
,25717
,23008
,22096
,22855
,24065
,24043
,30658
,37515
,41733
,46090
,48249
,48280
,47497
,42697
,36664
,34556
,30690
,32971
,32129
,30573
,33070
,32228
,31510
,30400
,30355
,27105
,27577
,26887
,25629
,25397
,24201
,22035
,21536
,20383
,20376
,19370
,19127
,17436
,17477
,16558
,17499
,17736
,16768
,16627
,16983
,19373
,19501
,20889
,22359
,27999
,31821
,34678
,32622
,30507
,30752
,28295
,24502
,24219
,24140
,23570
,31740
,53910
,114691
,243534
,452397
,719767
,989900
,1192840
,1245169
,1165709
,1000295
,819751
,666546
,556280
,472721
,396099
,344105
,300887
,263734
,235205
,206253
,186181
,168517
,148095
,137608
,132043
,121682
,114752
,106062
,99740
,92966
,83153
,72899
,61793
,49868
,41363
,34518
,34375
,35450
,34073
,34673
,33451
,30744
,28857
,26323
,25451
,23257
,23470
,22139
,20750
,20112
,19896
,20523
,19550
,18464
,19522
,20175
,18929
,18997
,19915
,19925
,21417
,21090
,21380
,22348
,23871
,28008
,32014
,35703
,37687
,37533
,36774
,32272
,31023
,28984
,28532
,29625
,32391
,33722
,41280
,51527
,59405
,60943
1100.2877697842,61145
1100.5275779376,52822
1100.7673860911,47124
1101.0551558753,42071
1101.2949640288,35731
1101.5827338129,33955
1101.8225419664,31946
1102.0623501199,28979
1102.3501199041,29091
1102.5899280576,27677
1102.8776978417,29005
1103.1175059952,28650
1103.3573141487,27538
1103.6450839329,27620
1103.8848920863,25825
1104.1726618705,24279
1104.412470024,21974
1104.6522781775,21634
1104.9400479616,18990
1105.1798561151,19984
1105.4676258993,18511
1105.7074340528,17831
1105.9472422062,17659
1106.2350119904,18900
1106.4748201439,18557
1106.7625899281,19311
1107.0023980815,19244
1107.242206235,24122
1107.5299760192,37814
1107.7697841727,58692
1108.0575539568,82940
1108.2973621103,107455
1108.5371702638,121196
1108.824940048,121187
1109.0647482014,112836
1109.3525179856,97530
1109.5923261391,86572
1109.8321342926,76612
1110.1199040767,68058
1110.3597122302,63026
1110.6474820144,56451
1110.8872901679,53869
1111.1270983213,51267
1111.4148681055,48030
1111.654676259,47035
1111.9424460432,51613
1112.1822541966,58035
1112.4220623501,66070
1112.7098321343,76663
1112.9496402878,85633
1113.2374100719,85726
1113.4772182254,85373
1113.7170263789,75158
1114.0047961631,69166
1114.2446043165,59139
1114.5323741007,51583
1114.7721822542,47836
1115.0119904077,42936
1115.2997601918,40678
1115.5395683453,39923
1115.8273381295,39883
1116.067146283,42214
1116.3069544365,42255
1116.5947242206,46752
1116.8345323741,47826
1117.1223021583,46815
1117.3621103118,47293
1117.6019184652,44799
1117.8896882494,43043
1118.1294964029,37046
1118.4172661871,35102
1118.6570743405,30610
1118.896882494,30362
1119.1846522782,30612
1119.4244604317,32424
1119.7122302158,38294
1119.9520383693,43403
1120.1918465228,45828
1120.479616307,48453
1120.7194244604,48930
1121.0071942446,43752
1121.2470023981,41373
1121.4868105516,40703
1121.7745803357,36238
1122.0143884892,36625
1122.3021582734,34937
1122.5419664269,35926
1122.7817745803,38859
1123.0695443645,38644
1123.309352518,43346
1123.5971223022,55207
1123.8369304556,75881
1124.1247002398,114182
1124.3645083933,160296
1124.6043165468,206792
1124.8920863309,237324
1125.1318944844,249796
1125.4196642686,252254
1125.6594724221,244886
1125.8992805755,233043
1126.1870503597,216702
1126.4268585132,194952
1126.7146282974,181882
1126.9544364508,161315
1127.1942446043,138031
1127.4820143885,126350
1127.721822542,115314
1128.0095923261,104453
1128.2494004796,95019
1128.4892086331,87773
1128.7769784173,82495
1129.0167865707,73925
1129.3045563549,70585
1129.5443645084,65895
1129.7841726619,61529
1130.071942446,56856
1130.3117505995,51297
1130.5995203837,46420
1130.8393285372,42011
1131.0791366906,38636
1131.3669064748,35099
1131.6067146283,31548
1131.8944844125,30492
1132.1342925659,28771
1132.3741007194,27375
1132.6618705036,26735
1132.9016786571,24834
1133.1894484412,23144
1133.4292565947,21089
1133.6690647482,20573
1133.9568345324,19850
1134.1966426859,21664
1134.48441247,24763
1134.7242206235,32011
1134.964028777,42696
1135.2517985612,55065
1135.4916067146,65502
1135.7793764988,68422
1136.0191846523,63308
1136.2589928058,60039
1136.5467625899,53430
1136.7865707434,47393
1137.0743405276,40226
1137.3141486811,41376
1137.5539568345,39290
1137.8417266187,40076
1138.0815347722,44981
1138.3693045564,51009
1138.6091127098,57307
1138.8489208633,66106
1139.1366906475,72466
1139.376498801,76297
1139.6642685851,75627
1139.9040767386,74637
1140.1438848921,68488
1140.4316546763,67473
1140.6714628297,65021
1140.9592326139,64311
1141.1990407674,64605
1141.4388489209,59754
1141.726618705,54298
1141.9664268585,47232
1142.2541966427,42947
1142.4940047962,37905
1142.7338129496,36038
1143.0215827338,30932
1143.2613908873,29633
1143.5491606715,26280
1143.7889688249,24205
1144.0287769784,21448
1144.3165467626,19736
1144.5563549161,18701
1144.8441247002,16199
1145.0839328537,16632
1145.3237410072,15881
1145.6115107914,17047
1145.8513189448,19309
1146.139088729,21149
1146.3788968825,21212
1146.618705036,22193
1146.9064748201,21861
1147.1462829736,21324
1147.4340527578,19305
1147.6738609113,18764
1147.9136690647,18027
1148.2014388489,17344
1148.4412470024,18118
1148.7290167866,23459
1148.96882494,33657
1149.2086330935,56161
1149.4964028777,91243
1149.7362110312,137654
1150.0239808153,185313
1150.2637889688,216244
1150.551558753,232968
1150.7913669065,220804
1151.03117506,194625
1151.3189448441,159058
1151.5587529976,129273
1151.8465227818,106286
1152.0863309353,89621
1152.3261390887,76555
1152.6139088729,68750
1152.8537170264,58641
1153.1414868106,52225
1153.381294964,48123
1153.6211031175,43235
1153.9088729017,40712
1154.1486810552,38814
1154.4364508393,37178
1154.6762589928,35990
1154.9160671463,35726
1155.2038369305,34713
1155.4436450839,32769
1155.7314148681,32842
1155.9712230216,31773
1156.2110311751,31599
1156.4988009592,29204
1156.7386091127,32701
1157.0263788969,32817
1157.2661870504,31397
1157.5059952038,31930
1157.793764988,29657
1158.0335731415,27512
1158.3213429257,25201
1158.5611510791,24820
1158.8009592326,22616
1159.0887290168,22209
1159.3285371703,19914
1159.6163069544,19787
1159.8561151079,18089
1160.0959232614,17817
1160.3836930456,17314
1160.623501199,18886
1160.9112709832,18344
1161.1510791367,17619
1161.3908872902,16629
1161.6786570743,15935
1161.9184652278,15173
1162.206235012,15420
1162.4460431655,13849
1162.6858513189,14049
1162.9736211031,14693
1163.2134292566,15552
1163.5011990408,17757
1163.7410071942,19063
1163.9808153477,21382
1164.2685851319,21800
1164.5083932854,22805
1164.7961630695,20980
1165.035971223,21466
1165.2757793765,20561
1165.5635491607,21482
1165.8033573141,23045
1166.0911270983,29519
1166.3309352518,36283
1166.5707434053,46094
1166.8585131894,49651
1167.0983213429,55779
1167.3860911271,50296
1167.6258992806,49419
1167.8657074341,42424
1168.1534772182,35657
1168.3932853717,32446
1168.6810551559,30034
1168.9208633094,24592
1169.1606714628,23587
1169.448441247,20468
1169.6882494005,20425
1169.9760191847,18966
1170.2158273381,17979
1170.4556354916,18202
1170.7434052758,17991
1170.9832134293,18084
1171.2709832134,18079
1171.5107913669,16410
1171.7505995204,17120
1172.0383693046,18106
1172.278177458,17289
1172.5659472422,17261
1172.8057553957,15320
1173.0455635492,15375
1173.3333333333,14264
1173.5731414868,14246
1173.860911271,13711
1174.1007194245,13390
1174.3405275779,14030
1174.6282973621,13674
1174.8681055156,13958
1175.1558752998,14794
1175.3956834532,15488
1175.6354916067,15138
1175.9232613909,16602
1176.1630695444,17478
1176.4508393285,18416
1176.690647482,26395
1176.9784172662,41870
1177.2182254197,80876
1177.4580335731,147335
1177.7458033573,242508
1177.9856115108,357833
1178.273381295,481132
1178.5131894484,596148
1178.7529976019,663732
1179.0407673861,677519
1179.2805755396,640835
1179.5683453237,572992
1179.8081534772,487785
