RI,Value
,16058643.924182
,16312278.027695
,16621433.915612
,16852785.622563
,16985538.825203
,17164808.058168
,17285411.110096
,17183433.821874
,17161670.900411
,17318735.678513
,17280805.026551
,17053511.963935
,16938881.871432
,17007904.50083
,17079329.673828
,17061272.717335
,17148387.839503
,17268214.180725
,17350701.099933
,17436141.116284
,17435728.47831
,17426035.668104
,17503511.771407
,17495301.942585
,17348458.761
,17468796.9442
,17853215.311063
,17956464.016813
,17693602.252125
,17579259.881144
,17925862.420273
,18176309.590241
,18018836.789332
,17932280.107297
,18001201.218517
,18040010.328521
,17948100.685198
,17783489.503083
,17747644.002775
,17891642.064053
,18034268.840047
,17956840.002023
,17823420.592703
,17790914.77153
,17722883.746744
,17623080.303442
,17785743.145632
,18150772.980027
,18319757.715588
,18238604.682755
,18014816.512736
,17872771.044728
,17945753.629083
,18032344.720474
,18055427.487662
,18069438.43935
,17917709.485492
,17657652.353282
,17616464.046797
,17792301.541574
,17981878.969763
,18031890.10978
,18082575.010373
,18374394.590407
,18572083.456142
,18291520.846956
,17878064.088171
,17734884.044089
,17816415.732984
,17840018.051356
,17697645.397177
,17681547.154945
,17971999.112628
,18356797.099639
,18524607.002777
,18571214.204652
,18720523.347216
,18713523.342791
,18528141.041481
,18380917.511576
,18125102.051843
,17834244.401453
,17779389.120467
,18074168.354453
,18535307.50442
,18850157.505986
,19014962.41822
,19056552.633292
,18803852.390297
,18394731.053513
,18214007.367159
,18317577.306394
,18524559.268142
,18618135.760924
,18589487.916411
,18522857.530925
,18439734.222047
,18511755.476754
,18678017.043162
,18613058.113646
,18321682.767928
,18021136.063936
,17937772.14679
,18108550.126366
,18240315.250076
,18111886.505565
,17830537.356766
,17733408.75753
,17951055.534279
,18222850.131381
,18335578.147798
,18276268.730372
,18062833.500322
,17991032.240609
,18133776.825772
,18127211.837931
,17842585.59681
,17425150.711693
,17239973.406533
,17449143.637959
,17750930.87797
,17857539.619545
,17861323.974319
,17932419.920346
,18029859.499179
,18224452.025123
,18594736.824831
,18958783.124161
,19264825.635598
,19557070.576855
,19482228.146323
,18941239.58625
,18478586.479018
,18230209.080292
,17898880.246704
,17674050.262117
,17730780.500447
,18021283.439296
,18428717.584936
,18448839.710724
,18076121.950794
,17844159.068839
,17792773.006634
,17924818.588429
,18222974.027428
,18291875.337998
,18168958.104139
,18106129.763148
,18185687.002329
,18385757.823376
,18429778.001089
,18156508.971573
,17795125.563729
,17636884.787836
,17661175.060653
,17679788.058978
,17592056.963437
,17535365.241942
,17640747.081453
,17839751.153512
,18045313.356186
,18108904.957575
,18074829.823311
,18038775.260731
,18036812.091247
,18099080.558231
,18117948.925475
,17989144.867364
,17783669.669892
,17897076.21536
,18248119.123074
,18408334.805562
,18325725.797426
,18100118.006721
,17927759.455771
,17864865.039585
,17850088.604592
,17835545.33124
,17832065.620557
,17871112.514657
,17905036.988203
,17884829.821658
,17814425.632983
,17919521.536525
,18131831.958216
,18143192.224988
,18115705.83109
,18184302.826673
,18147658.719375
,18150828.635086
,18267633.984207
,18350440.70955
,18514997.731462
,18662176.381827
,18696606.510703
,18618185.858294
,18417978.609219
,18212912.179305
,18077668.625136
,18049332.565194
,18086314.098251
,18065500.038926
,18046885.536998
,18231794.883809
,18459163.913297
,18567018.158078
,18610264.733206
,18481533.337185
,18208085.331212
,18029486.43755
,18029501.5948
,18064797.372197
,18162992.29035
,18388224.211031
,18426720.167771
,18286973.447629
,18249639.770193
,18162239.159835
,18030429.214823
,18235758.045085
,18646252.96465
,18731512.532898
,18405311.398398
,18133058.967593
,18143174.472871
,18189334.279892
,18170418.367837
,18090882.085574
,18096007.186899
,18212525.191418
,18311629.098922
,18391229.369999
,18544763.479296
,18822239.84749
,19018381.515672
,19119455.866578
,19093572.482461
,18900949.981267
,18739302.807387
,18624319.441899
,18501474.434928
,18335131.840187
,18132491.026435
,17926191.332127
,17669293.908742
,17493411.145914
,17457601.882973
,17520787.1167
,17880706.060168
,18447426.366275
,18835514.77146
,18925308.481141
,19001455.764339
,19085284.571404
,18884097.177299
,18521821.104604
,18344713.950209
,18425886.731629
,18523075.495422
,18518273.39742
,18423357.194614
,18309041.717373
,18218864.257481
,18193725.882694
,18345853.275522
,18463601.025799
,18370621.507136
,18134258.024533
,17929307.918372
,17873084.260504
,17902359.285967
